song,lyric,pitch,rel_pitch
1,すてい,68,2.0
1,うぃず,66,0.0
1,れっつ,62,-4.0
1,すてい,68,2.0
1,うぃず,66,0.0
1,れっつ,62,-4.0
2,りむ,62,0.0
4,わっとぅ,61,-7.0
5,ひつ,67,-2.0
6,すと,59,-9.0
6,とつ,59,-9.0
6,むし,59,-9.0
6,ずく,59,-9.0
6,じゃんぷ,70,2.0
6,せく,71,3.0
6,ずむ,68,0.0
6,せく,71,3.0
6,すて,68,0.0
6,すてじ,71,3.0
6,じゃんぷ,70,2.0
6,がく,68,0.0
6,ずむ,68,0.0
6,せく,71,3.0
6,すてっぷ,71,3.0
6,ぎぶ,71,3.0
7,いしょ,73,4.0
8,れっつ,60,-5.0
8,かっぷ,60,-5.0
8,わく,63,-2.0
8,まし,65,0.0
9,です,57,-12.0
9,です,69,0.0
11,まま,66,3.0
12,かし,69,0.0
12,かし,69,0.0
12,ないん,71,2.0
12,すて,71,2.0
13,いり,60,-5.0
14,どぅり,64,-3.0
14,はく,62,-5.0
14,どぅり,69,2.0
14,むらんど,67,0.0
14,どぅりむ,74,7.0
14,かむ,74,7.0
14,とぅる,74,7.0
15,だいす,64,-1.0
16,ていく,67,0.0
16,おふ,69,2.0
16,らく,67,0.0
17,らぶ,66,-1.0
17,はと,65,-2.0
17,らぶ,66,-1.0
18,だいす,70,7.0
18,ちぇんじ,70,7.0
18,じっく,67,4.0
18,だいす,70,7.0
18,だいす,70,7.0
18,ちぇんじ,70,7.0
20,すきす,65,1.0
20,いんに,62,-2.0
20,なり,60,-4.0
20,らく,64,0.0
20,しく,60,-4.0
20,きす,65,1.0
20,して,71,7.0
20,きす,65,1.0
20,きす,65,1.0
21,じゃんぷ,69,0.0
21,れっつ,66,-3.0
21,だんす,68,-1.0
21,すり,69,0.0
21,れっつ,66,-3.0
21,べす,69,0.0
21,れっつ,65,-4.0
22,よく,61,-6.0
22,なく,70,3.0
24,じっく,58,-7.0
24,すまい,63,-2.0
24,どり,68,3.0
24,れど,63,-2.0
25,らぶ,71,6.0
26,らんど,68,0.0
27,だき,65,-1.0
27,てっぷ,71,5.0
27,てじ,71,5.0
29,ばし,67,2.0
30,ぷり,67,2.0
30,ぷり,67,2.0
30,ぷり,67,2.0
30,ぷり,67,2.0
30,ぷり,67,2.0
30,ぷり,67,2.0
30,ぷり,67,2.0
31,らぶ,61,-4.0
31,ふぁす,61,-4.0
31,らぶ,57,-8.0
31,りず,65,0.0
31,べす,67,2.0
31,ふれんど,65,0.0
32,だんす,68,1.0
32,だす,68,1.0
32,らんど,68,1.0
32,いつ,63,-4.0
32,れっつ,65,-2.0
32,すたと,67,0.0
32,どりむ,62,-5.0
32,おぶ,63,-4.0
32,らいぶ,65,-2.0
32,じっく,68,1.0
32,でいず,70,3.0
32,くり,63,-4.0
32,すた,68,1.0
32,れいん,70,3.0
32,すた,68,1.0
32,たいむ,70,3.0
32,くろ,63,-4.0
34,して,64,-3.0
34,すた,69,2.0
36,める,66,-1.0
36,よを,62,-5.0
38,ただ,68,1.0
38,めく,65,-2.0
38,ただ,68,1.0
38,めく,65,-2.0
40,わす,67,0.5
40,ころ,55,-11.5
41,りむ,66,0.0
42,ぴり,61,-7.0
42,しゃいん,71,3.0
43,だし,57,-10.0
43,やま,57,-10.0
43,もり,57,-10.0
43,しご,69,2.0
45,すき,58,-10.0
48,そぶ,66,0.0
48,てぶ,66,0.0
49,ぶら,61,-7.0
49,わる,63,-5.0
49,です,63,-5.0
49,じっく,70,2.0
50,との,67,0.0
50,ひと,65,-2.0
50,がく,71,4.0
50,かく,71,4.0
50,なく,69,2.0
50,いき,69,2.0
