song,lyric,dur,bpm
01,すてい,1.0,152
01,うぃず,1.0,152
01,れっつ,1.0,152
01,すてい,1.0,152
01,うぃず,1.0,152
01,れっつ,1.0,152
02,りむ,6.5,129
04,わっとぅ,1.5,164
05,ひつ,0.5,120
06,すと,1.0,108
06,とつ,0.75,108
06,むし,0.5,108
06,ずく,0.5,108
06,じゃんぷ,2.25,108
06,せく,0.5,108
06,ずむ,1.0,108
06,せく,0.5,108
06,すて,0.5,108
06,すてじ,1.75,108
06,じゃんぷ,2.25,108
06,がく,1.0,108
06,ずむ,1.0,108
06,せく,0.5,108
06,すてっぷ,1.25,108
06,ぎぶ,0.5,108
07,いしょ,0.5,178
08,れっつ,0.5,150
08,かっぷ,1.0,150
08,わく,0.75,150
08,まし,0.5,150
09,です,1.0,164
09,です,3.0,164
11,まま,1.5,147
12,かし,1.0,158
12,かし,1.0,158
12,ないん,1.0,158
12,すて,1.0,158
13,いり,0.5,158
14,どぅり,0.5,90
14,はく,0.5,90
14,どぅり,0.5,90
14,むらんど,0.5,90
14,どぅりむ,2.0,90
14,かむ,0.75,90
14,とぅる,0.75,90
15,だいす,0.875,86
16,ていく,0.5,84
16,おふ,0.5,84
16,らく,0.25,84
17,らぶ,4.75,164
17,はと,1.25,164
17,らぶ,4.75,164
18,だいす,0.5,164
18,ちぇんじ,1.0,164
18,じっく,1.0,164
18,だいす,1.0,164
18,だいす,1.0,164
18,ちぇんじ,1.0,164
20,すきす,0.75,175
20,いんに,1.0,175
20,なり,0.5,175
20,らく,1.0,175
20,しく,1.0,175
20,きす,0.75,175
20,して,0.75,175
20,きす,0.75,175
20,きす,0.75,175
21,じゃんぷ,3.5,172
21,れっつ,1.0,172
21,だんす,1.0,172
21,すり,1.0,172
21,れっつ,1.0,172
21,べす,1.0,172
21,れっつ,1.0,172
22,よく,1.25,182
22,なく,1.0,182
24,じっく,1.4375,172
24,すまい,1.25,172
24,どり,1.0,172
24,れど,1.0,172
25,らぶ,4.0,148
26,らんど,1.5,174
27,だき,0.875,190
27,てっぷ,0.5,190
27,てじ,1.5,190
29,ばし,1.0,148
30,ぷり,0.75,130
30,ぷり,0.75,130
30,ぷり,0.75,130
30,ぷり,0.75,130
30,ぷり,0.75,130
30,ぷり,0.75,130
30,ぷり,0.75,130
31,らぶ,1.0,167
31,ふぁす,1.0,167
31,らぶ,1.5,167
31,りず,1.0,167
31,べす,1.0,167
31,ふれんど,5.5,167
32,だんす,1.5,175
32,だす,1.5,175
32,らんど,4.0,175
32,いつ,1.0,175
32,れっつ,1.5,175
32,すたと,1.0,175
32,どりむ,1.0,175
32,おぶ,1.0,175
32,らいぶ,1.0,175
32,じっく,1.0,175
32,でいず,3.0,175
32,くり,1.5,175
32,すた,1.5,175
32,れいん,1.0,175
32,すた,2.0,175
32,たいむ,2.0,175
32,くろ,1.5,175
34,して,0.5,137
34,すた,1.5,137
36,める,1.0,176
36,よを,1.0,176
38,ただ,0.5,166
38,めく,1.0,166
38,ただ,0.5,166
38,めく,1.0,166
40,わす,0.5,156
40,ころ,1.0,156
41,りむ,4.5,164
42,ぴり,2.125,140
42,しゃいん,0.75,140
43,だし,0.25,150
43,やま,0.5,150
43,もり,0.5,150
43,しご,0.5,150
45,すき,0.5,190
48,そぶ,0.625,133
48,てぶ,0.625,133
49,ぶら,0.5,190
49,わる,3.25,190
49,です,2.75,190
49,じっく,0.75,190
50,との,0.5,148
50,ひと,0.625,148
50,がく,1.0,148
50,かく,0.5,148
50,なく,0.625,148
50,いき,1.0,148
